date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:54:35	2246/2246	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20Nov%202017%2012:25:48%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Ftypography%2F	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embedb401.json	(from http://unicaevents.ancorathemes.com/typography/)
17:54:36	41309/41309	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Nov%202017%2012:25:48%20GMT	http://unicaevents.ancorathemes.com/2015/10/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/2015/10/index.html	(from http://unicaevents.ancorathemes.com/shortcodes/)
17:54:37	2343/2343	---MCZ	200	added ('OK')	text/xml	date:Wed,%2015%20Nov%202017%2012:25:50%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Ftypography%2F&format=xml	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embedb39d	(from http://unicaevents.ancorathemes.com/typography/)
17:54:37	46797/46797	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:25:49%20GMT	http://unicaevents.ancorathemes.com/2015/08/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/2015/08/index.html	(from http://unicaevents.ancorathemes.com/shortcodes/)
17:54:39	50916/50916	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:25:51%20GMT	http://unicaevents.ancorathemes.com/2015/06/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/2015/06/index.html	(from http://unicaevents.ancorathemes.com/shortcodes/)
17:54:39	53013/53013	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:25:51%20GMT	http://unicaevents.ancorathemes.com/2015/07/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/2015/07/index.html	(from http://unicaevents.ancorathemes.com/shortcodes/)
17:54:40	27154/27154	---MCZ	200	added ('OK')	text/css	etag:W/%2258e0e4ea-6a12%22	http://unicaevents.ancorathemes.com/wp-content/themes/unicaevents/fw/js/prettyphoto/css/prettyPhoto.css	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/themes/unicaevents/fw/js/prettyphoto/css/prettyPhoto.css	(from http://unicaevents.ancorathemes.com/typography/)
17:54:41	57961/57961	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:25:53%20GMT	http://unicaevents.ancorathemes.com/2015/05/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/2015/05/index.html	(from http://unicaevents.ancorathemes.com/shortcodes/)
17:54:42	88583/88583	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:25:54%20GMT	http://unicaevents.ancorathemes.com/must-have-tools-for-better-events/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/must-have-tools-for-better-events/index.html	(from http://unicaevents.ancorathemes.com/shortcodes/)
17:54:42	21506/21506	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258e0e4ea-5402%22	http://unicaevents.ancorathemes.com/wp-content/themes/unicaevents/fw/js/prettyphoto/jquery.prettyPhoto.min.js?ver=no-compose	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/themes/unicaevents/fw/js/prettyphoto/jquery.prettyPhoto.minca7f.js	(from http://unicaevents.ancorathemes.com/typography/)
